person_title	person_gender
Rear-Admiral Sir	m
Marquess of	m
Major	m
Wing Commander Sir	m
Viscount	m
Earl of	m
Lieutenant	m
Commodore	m
Earl	m
Air Vice-Marshall	m
Mr	m
General	m
Lord Viscount	m
Major-General Hon. Sir	m
Reverend	m
Field Marshal Sir	m
Mrs	f
Major-General	m
unknown	unknown
The	unknown
Admiral	m
Major Hon. Sir	m
Lieut-General Sir	m
Captain Sir	m
Admiral Hon. Sir	m
Hon. Colonel	m
Brigadier Sir	m
Lord	m
Air Commodore	m
Dame	f
John) Donald (Mr	m
General Sir	m
Professor Sir	m
Lieut-Colonel Sir	m
Reverend Dr	m
Lieut-General	m
Vice-Admiral Sir	m
Hon. Vice-Admiral	m
Major-General Sir	m
Commander	m
Group Captain Hon.	m
Major Sir	m
Very Reverend Dr	m
Dr	unknown
Professor	unknown
Brigadier-General Sir	m
Colonel Sir	m
Wing Commander	m
Viscountess	f
General Hon. Sir	m
Count	m
Rear-Admiral	m
Lieut-Colonel	m
Flight Lieut	m
Countess	f
Duchess of	f
Baron	m
Lady	f
Admiral Sir	m
Sub-Lieutenant	m
Colonel Hon.	m
Commander Sir	m
Master of	m
Major Hon.	m
Ms	f
Captain	m
Brigadier-General	m
Hon. Sir	m
Hon. Captain	m
Group Captain	m
Sir	m
Vice-Admiral	m
Baroness	f
Miss	f
Brigadier	m
Lieut-Commander	m
Hon.	m
Colonel	m
Squadron Leader	m
Captain Hon.	m
Commander Hon.	m
Lieut-Colonel Hon.	m
